Code,Name,Class,Type,District Code,District Name,SubDistrict Code,SubDistrict Name,Parliament Constituency code,Parliament Constituency Name,Assembly Constituency Code,Assembly Constituency Name,Ward Count,Village Names,Pincodes
252075,Bicholim,Town,Municipality,551,North Goa,5612,Bicholim,480,North Goa,3678,Bicholim,28,,403504
252077,Sankhali,Town,Municipality,551,North Goa,5612,Bicholim,480,North Goa,3690,Sanquelim,26,,403505
254424,Karapur-Sarvan,Suburb,Village Panchayat,551,North Goa,5612,Bicholim,480,North Goa,3681,Maem,11,"Carapur (Ct), Sarvona","403505, 403529"
254464,"Pale, Cotombi",Suburb,Village Panchayat,551,North Goa,5612,Bicholim,480,North Goa,3690,Sanquelim,9,"Cotombi (part), Pale (Ct)","403105, 403505"
254347,Agarwada Chopdem,Village,Village Panchayat,551,North Goa,5609,Pernem,480,North Goa,3682,Mandrem,7,"Agarvado, Chopdem",403512
254350,Alorna,Village,Village Panchayat,551,North Goa,5609,Pernem,480,North Goa,3685,Pernem,7,Alorna,403503
254383,"Casnem, Amberem,Poroscodem",Village,Village Panchayat,551,North Goa,5609,Pernem,480,North Goa,3685,Pernem,7,"Amberem, Casnem, Poroscodem",403512
254386,Chandel Hasapur,Village,Village Panchayat,551,North Goa,5609,Pernem,480,North Goa,3685,Pernem,5,Chandel,403512
254397,Corgao,Village,Village Panchayat,551,North Goa,5609,Pernem,480,North Goa,3685,Pernem,9,Corgao,403512
254411,Dhargal,Village,Village Panchayat,551,North Goa,5609,Pernem,480,North Goa,3685,Pernem,9,Dargalim,403513
254422,Ibrampur,Village,Village Panchayat,551,North Goa,5609,Pernem,480,North Goa,3685,Pernem,7,Ibrampur,403503
254425,Kasarvanem,Village,Village Panchayat,551,North Goa,5609,Pernem,480,North Goa,3685,Pernem,5,Cansarvornem,403512
254426,Keri Terecol,Village,Village Panchayat,551,North Goa,5609,Pernem,480,North Goa,3682,Mandrem,7,"Querim (part), Tiracol",403524
254445,Morjim,Village,Village Panchayat,551,North Goa,5609,Pernem,480,North Goa,3682,Mandrem,9,Morgim,403512
254463,Ozarim,Village,Village Panchayat,551,North Goa,5609,Pernem,480,North Goa,3685,Pernem,5,Ozorim,403513
254465,Paliem,Village,Village Panchayat,551,North Goa,5609,Pernem,480,North Goa,3682,Mandrem,7,Paliem (part),403524
254514,"Tamboxem, Mopa, Uguem",Village,Village Panchayat,551,North Goa,5609,Pernem,480,North Goa,3685,Pernem,7,"Mopa, Tamboxem, Uguem (part)",403512
254518,Torxem,Village,Village Panchayat,551,North Goa,5609,Pernem,480,North Goa,3685,Pernem,7,Torxem,403512
254519,Tuem,Village,Village Panchayat,551,North Goa,5609,Pernem,480,North Goa,3682,Mandrem,7,Tuem,403512
254524,Varkhand Nagzar,Village,Village Panchayat,551,North Goa,5609,Pernem,480,North Goa,3685,Pernem,7,Varconda,403512
254533,Virnoda,Village,Village Panchayat,551,North Goa,5609,Pernem,480,North Goa,3682,Mandrem,7,Virnora,403512
252057,Pernem,Town,Municipality,551,North Goa,5609,Pernem,480,North Goa,3685,Pernem,20,,403512
254356,Arambol,Suburb,Village Panchayat,551,North Goa,5609,Pernem,480,North Goa,3682,Mandrem,9,Arambol (Ct),403524
254435,Mandrem,Suburb,Village Panchayat,551,North Goa,5609,Pernem,480,North Goa,3682,Mandrem,11,Mandrem (Ct),403527
254467,Parcem,Suburb,Village Panchayat,551,North Goa,5609,Pernem,480,North Goa,3682,Mandrem,7,Parcem (Ct),403512
254375,Birondem,Village,Village Panchayat,551,North Goa,5613,Satari,480,North Goa,3686,Poriem,7,"Advoi, Ansolem, Birondem, Padeli, Sanvorcem, Vantem","403506, 403530"
254401,Cotodem,Village,Village Panchayat,551,North Goa,5613,Satari,480,North Goa,3696,Valpoi,7,"Ambeli, Assodem, Codqui, Cotorem, Govanem, Malpona, Siranguli, Sirsodem, Velguem (part), Xelopo-Curdo",403506
254412,Dongurli-Thane,Village,Village Panchayat,551,North Goa,5613,Satari,480,North Goa,3686,Poriem,9,"Choraundem, Dongurli (part), Golauli, Ivrem-Buzruco, Ivrem-Curdo, Naneli, Pale (part), Rivem, Surla (part)",403506
254420,Guleli,Village,Village Panchayat,551,North Goa,5613,Satari,480,North Goa,3696,Valpoi,7,"Conquirem, Damocem, Guleli, Melauli",403506
254438,Mauxi,Village,Village Panchayat,551,North Goa,5613,Satari,480,North Goa,3686,Poriem,7,"Compordem, Dabem, Mauxi, Naguem, Zormen",403506
254446,Morlem,Village,Village Panchayat,551,North Goa,5613,Satari,480,North Goa,3686,Poriem,7,Morlem,403505
254451,Nagargao,Village,Village Panchayat,551,North Goa,5613,Satari,480,North Goa,3696,Valpoi,7,"Ambedem, Bombedem, Carambolim- Brama, Codal, Davem, Derodem, Edorem, Maloli, Nagargao, Nanorem, Satorem, Satrem, Sigonem (part), Ustem, Vainguinim (part), Xelopo-Buzruco, Zarani",403506
254474,Pissurlem,Village,Village Panchayat,551,North Goa,5613,Satari,480,North Goa,3686,Poriem,7,"Codiem, Cumarconda, Pissurlem, Ponocem, Vaguriem",403530
254477,Poriem,Village,Village Panchayat,551,North Goa,5613,Satari,480,North Goa,3686,Poriem,9,"Podocem, Poriem",403505
254479,Querim,Village,Village Panchayat,551,North Goa,5613,Satari,480,North Goa,3686,Poriem,9,"Anjunem, Gonteli, Gululem, Ponsuli, Quelaudem, Querim (part), Ravona, Siroli","403505, 403506"
254492,Sanvordem,Village,Village Panchayat,551,North Goa,5613,Satari,480,North Goa,3696,Valpoi,7,"Carambolim-Buzruco, Caranzol (part), Codvol, Cudcem, Pendral, Sanvordem, Sonal",403506
252079,Valpoi,Town,Municipality,551,North Goa,5613,Satari,480,North Goa,3696,Valpoi,20,,403506
254421,Honda,Suburb,Village Panchayat,551,North Goa,5613,Satari,480,North Goa,3686,Poriem,11,"Buimpal, Onda (Ct), Saleli, Sonus-Vonvoliem",403530
254363,Azossim-Mandur,Village,Village Panchayat,551,North Goa,5611,Tiswadi,480,North Goa,3692,St. Andre,7,"Azossim, Mandur",403104
254368,Batim,Village,Village Panchayat,551,North Goa,5611,Tiswadi,480,North Goa,3692,St. Andre,7,"Batim, Gancim",403108
254381,Carambolim,Village,Village Panchayat,551,North Goa,5611,Tiswadi,480,North Goa,3680,Cumbarjua,9,Carambolim,403110
254392,Chodan-Madel,Village,Village Panchayat,551,North Goa,5611,Tiswadi,480,North Goa,3681,Maem,9,"Ambarim, Caraim, Chorao",403102
254417,Goltim-Navelim,Village,Village Panchayat,551,North Goa,5611,Tiswadi,480,North Goa,3680,Cumbarjua,7,"Goltim, Navelim (part)",403403
254459,Neura,Village,Village Panchayat,551,North Goa,5611,Tiswadi,480,North Goa,3692,St. Andre,7,"Neura-O-Grande, Neura-O-Pequeno",403104
254494,Sao Matias,Village,Village Panchayat,551,North Goa,5611,Tiswadi,480,North Goa,3681,Maem,7,"Capao, Malar, Naroa (part)","403403, 403504"
254502,Siridao-Pale,Village,Village Panchayat,551,North Goa,5611,Tiswadi,480,North Goa,3692,St. Andre,7,Siridao,403108
254507,St. Andre,Village,Village Panchayat,551,North Goa,5611,Tiswadi,480,North Goa,3692,St. Andre,9,Goa-Velha,403108
254513,Taleigao,Village,Village Panchayat,551,North Goa,5611,Tiswadi,480,North Goa,3694,Taleigao,11,"Durgavado, Taleigao",403002
254390,Chimbel,Suburb,Village Panchayat,551,North Goa,5611,Tiswadi,480,North Goa,3693,St. Cruz,11,"Chimbel (Ct), Morambi-O-Grande (Merces) (part)",403006
254398,Corlim,Suburb,Village Panchayat,551,North Goa,5611,Tiswadi,480,North Goa,3680,Cumbarjua,9,Corlim (Ct),403110
254404,Cumbharjua,Suburb,Village Panchayat,551,North Goa,5611,Tiswadi,480,North Goa,3680,Cumbarjua,9,"Cumbarjua (Ct), Gandaulim","403107, 403402"
254405,"Curca, Bambolim, Talaulim",Suburb,Village Panchayat,551,North Goa,5611,Tiswadi,480,North Goa,3692,St. Andre,11,"Bambolim (Ct), Curca, Goalim-Moula, Talaulim (part)","403108, 403202"
254441,Merces,Suburb,Village Panchayat,551,North Goa,5611,Tiswadi,480,North Goa,3693,St. Cruz,11,"Morambi-O-Grande (Merces) (part), Morambi-O-Pequeno (Merces), Murda (Ct), Renovadi (Og)","403005, 403006"
254493,Sao Lourence(Agassaim),Suburb,Village Panchayat,551,North Goa,5611,Tiswadi,480,North Goa,3692,St. Andre,11,Mercurim (Ct),403204
254496,Se-Old-Goa,Suburb,Village Panchayat,551,North Goa,5611,Tiswadi,480,North Goa,3680,Cumbarjua,9,"Bainguinim, Ella, Panelim (Og)","403006, 403402"
254508,St. Cruz,Suburb,Village Panchayat,551,North Goa,5611,Tiswadi,480,North Goa,3693,St. Cruz,11,"Calapor (Ct), Cujira (Og)",403005
254509,St. Estevam,Suburb,Village Panchayat,551,North Goa,5611,Tiswadi,480,North Goa,3680,Cumbarjua,7,Jua (Ct),403106
252071,Panaji,City,Municipal Corporation,551,North Goa,5611,Tiswadi,480,North Goa,3684,Panaji,90,,"403001, 403004"
254348,Agonda,Village,Village Panchayat,552,South Goa,5619,Canacona,481,South Goa,3698,Canacona,7,Agonda,403702
254393,Cola,Village,Village Panchayat,552,South Goa,5619,Canacona,481,South Goa,3698,Canacona,9,Cola,403702
254400,Cotigao,Village,Village Panchayat,552,South Goa,5619,Canacona,481,South Goa,3698,Canacona,7,Cotigao,403702
254416,Gaondongri,Village,Village Panchayat,552,South Goa,5619,Canacona,481,South Goa,3698,Canacona,9,Gaodongrem,403702
254431,Loliem-Polem,Village,Village Panchayat,552,South Goa,5619,Canacona,481,South Goa,3698,Canacona,9,"Angediva, Loliem","403702, 403728"
254475,Poinguinim,Village,Village Panchayat,552,South Goa,5619,Canacona,481,South Goa,3698,Canacona,9,Poinguinim,403702
254499,Shristhal,Village,Village Panchayat,552,South Goa,5619,Canacona,481,South Goa,3698,Canacona,7,Canacona,403702
252100,Canacona,Town,Municipality,552,South Goa,5619,Canacona,481,South Goa,3698,Canacona,24,,403702
254394,Colem,Village,Village Panchayat,552,South Goa,5931,Dharbandora,481,South Goa,3713,Sanvordem,9,"Caranzol (part), Colem, Sigao, Sonauli",403410
254410,Dharbandora,Village,Village Panchayat,552,South Goa,5931,Dharbandora,481,South Goa,3713,Sanvordem,9,"Darbandora, Piliem",403406
254428,Kirlapal-Dabhal,Village,Village Panchayat,552,South Goa,5931,Dharbandora,481,South Goa,3713,Sanvordem,9,"Bandoli, Camarconda, Codli, Cormonem, Moissal","403410, 403706"
254444,Mollem,Village,Village Panchayat,552,South Goa,5931,Dharbandora,481,South Goa,3713,Sanvordem,7,"Molem, Sangod",403410
254489,Sancordem,Village,Village Panchayat,552,South Goa,5931,Dharbandora,481,South Goa,3713,Sanvordem,7,"Aglote, Sancordem, Surla (part)",403406
254403,Cansaulim-Arossim-Cuelim,Village,Village Panchayat,552,South Goa,5615,Mormugao,481,South Goa,3699,Cortalim,9,"Arossim, Cansaulim, Cuelim",403712
254389,Chicolna-Bogmalo,Village,Village Panchayat,552,South Goa,5615,Mormugao,481,South Goa,3703,Dabolim,7,Chicolna,403806
276388,Quelossim,Village,Village Panchayat,552,South Goa,5615,Mormugao,481,South Goa,3699,Cortalim,7,Quelossim,403710
254528,Velsao-Pale,Village,Village Panchayat,552,South Goa,5615,Mormugao,481,South Goa,3699,Cortalim,7,"Issorcim, Pale (part), Velsao",403712
252084,Mormugao,Town,Municipality,552,South Goa,5615,Mormugao,481,South Goa,3707,Mormugao,50,,403803
254388,Chicalim,Suburb,Village Panchayat,552,South Goa,5615,Mormugao,481,South Goa,3703,Dabolim,11,"Chicalim (Ct), Dabolim, Sao Jacinto Island, Sao Jorge Island","403711, 403801, 403803"
254399,Cortalim,Suburb,Village Panchayat,552,South Goa,5615,Mormugao,481,South Goa,3699,Cortalim,11,Cortalim (Ct),403710
254488,Sancoale,Suburb,Village Panchayat,552,South Goa,5615,Mormugao,481,South Goa,3699,Cortalim,11,Sancoale (Ct),403710
254371,Betora-Nirancal,Village,Village Panchayat,552,South Goa,5614,Ponda,481,South Goa,3710,Ponda,11,"Betora, Codar, Conxem, Nirancal","403401, 403406"
254374,Bhoma-Adcolna,Village,Village Panchayat,552,South Goa,5614,Ponda,480,North Goa,3688,Priol,7,"Adcolna, Boma (part)",403107
254414,Durbhat,Village,Village Panchayat,552,South Goa,5614,Ponda,481,South Goa,3705,Marcaim,7,Durbhat,403401
254429,Kundaim,Village,Village Panchayat,552,South Goa,5614,Ponda,481,South Goa,3705,Marcaim,7,Cundaim,403115
254466,Panchawadi,Village,Village Panchayat,552,South Goa,5614,Ponda,481,South Goa,3710,Ponda,7,Ponchavadi,403706
254478,Quela,Village,Village Panchayat,552,South Goa,5614,Ponda,481,South Goa,3705,Marcaim,9,Queula,403401
254427,Querim,Village,Village Panchayat,552,South Goa,5614,Ponda,480,North Goa,3688,Priol,7,Querim (part),403401
254498,Shiroda,Village,Village Panchayat,552,South Goa,5614,Ponda,481,South Goa,3714,Siroda,11,Shiroda,403103
254512,Vadi Talaulim,Village,Village Panchayat,552,South Goa,5614,Ponda,481,South Goa,3705,Marcaim,7,"Telaulim, Vadi",403401
254530,Verem-Vaghurme,Village,Village Panchayat,552,South Goa,5614,Ponda,480,North Goa,3688,Priol,7,"Savoi-Verem, Vagurbem",403401
254534,Volvoi,Village,Village Panchayat,552,South Goa,5614,Ponda,480,North Goa,3688,Priol,5,Volvoi,403107
252082,Ponda,Town,Municipality,552,South Goa,5614,Ponda,481,South Goa,3710,Ponda,30,,403401
254365,Bandora,Suburb,Village Panchayat,552,South Goa,5614,Ponda,481,South Goa,3705,Marcaim,11,Bandora (Ct),403401
254372,"Betqui, Candola",Suburb,Village Panchayat,552,South Goa,5614,Ponda,480,North Goa,3688,Priol,9,"Betqui, Candola (Ct)",403107
254376,Borim,Suburb,Village Panchayat,552,South Goa,5614,Ponda,481,South Goa,3714,Siroda,11,Borim (Ct),403401
254407,Curti-Khandepar,Suburb,Village Panchayat,552,South Goa,5614,Ponda,481,South Goa,3710,Ponda,11,"Candepar, Curti (Ct)","403401, 403406"
254436,Marcaim,Suburb,Village Panchayat,552,South Goa,5614,Ponda,481,South Goa,3705,Marcaim,9,Marcaim (Ct),403404
254517,Tivrem-Orgao,Suburb,Village Panchayat,552,South Goa,5614,Ponda,481,South Goa,3710,Ponda,9,"Orgao (Ct), Tivrem",403107
254522,Usgao-Ganjem,Suburb,Village Panchayat,552,South Goa,5614,Ponda,481,South Goa,3710,Ponda,11,"Gangem, Usgao (Ct)",403406
254527,Veling-Priol,Suburb,Village Panchayat,552,South Goa,5614,Ponda,480,North Goa,3688,Priol,11,"Cuncoliem, Priol (Ct), Velinga",403404
254351,Ambaulim,Village,Village Panchayat,552,South Goa,5617,Quepem,481,South Goa,3711,Quepem,7,Ambaulim,403705
254360,Assolda,Village,Village Panchayat,552,South Goa,5617,Quepem,481,South Goa,3701,Curchorem,7,"Assolda, Hodar, Xelvona, Xic-Xelvona","403706, 403714"
254362,Avedem-Cotombi,Village,Village Panchayat,552,South Goa,5617,Quepem,481,South Goa,3711,Quepem,7,"Avedem, Chaifi, Cotombi (part)","403705, 403714"
254364,Balli-Adnem,Village,Village Panchayat,552,South Goa,5617,Quepem,481,South Goa,3700,Cuncolim,9,"Adnem, Bali, Bendordem, Cordem, Tiloi","403703, 403704"
254366,Barcem,Village,Village Panchayat,552,South Goa,5617,Quepem,481,South Goa,3711,Quepem,7,"Barcem, Goculdem, Padi, Quedem, Quisconda","403703, 403705"
254384,Caurem,Village,Village Panchayat,552,South Goa,5617,Quepem,481,South Goa,3712,Sanguem,7,"Cavorem, Cazur, Corla, Maina, Mangal, Pirla, Sulcorna","403704, 403705"
254415,Fatorpa-Quitol,Village,Village Panchayat,552,South Goa,5617,Quepem,481,South Goa,3711,Quepem,7,Fatorpa,403703
254443,Molcornem,Village,Village Panchayat,552,South Goa,5617,Quepem,481,South Goa,3711,Quepem,7,"Molcopona, Molcornem, Nagvem, Undorna, Zanodem","403703, 403704"
254447,Morpirla,Village,Village Panchayat,552,South Goa,5617,Quepem,481,South Goa,3711,Quepem,7,Morpirla,403703
254453,Naqueri-Betul,Village,Village Panchayat,552,South Goa,5617,Quepem,481,South Goa,3711,Quepem,7,"Naqueri, Quitol","403703, 403723"
252096,Curchorem Cacora,Town,Municipality,552,South Goa,5617,Quepem,481,South Goa,3701,Curchorem,30,,403706
252097,Quepem,Town,Municipality,552,South Goa,5617,Quepem,481,South Goa,3711,Quepem,26,,403705
254535,Xeldem,Suburb,Village Panchayat,552,South Goa,5617,Quepem,481,South Goa,3701,Curchorem,11,"Sirvoi, Xeldem (Ct)",403705
254352,Ambelim,Village,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3716,Velim,7,Ambelim,403723
254355,Aquem Baixo,Village,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3708,Navelim,9,Aquem-Baixo,403601
254361,Assolna,Village,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3716,Velim,7,Assolna,403701
254370,Betalbatim,Village,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3709,Nuvem,7,"Betalbatim, Gonsua",403713
254379,Camurlim,Village,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3709,Nuvem,7,Camurlim (part),403718
254382,Carmona,Village,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3697,Benaulim,7,Carmona,403717
254385,Cavelossim,Village,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3697,Benaulim,7,Cavelossim,403731
254387,Chandor-Cavorim,Village,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3700,Cuncolim,7,"Cavorim, Chandor",403714
254395,Colva,Village,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3697,Benaulim,9,"Colva, Gaundaulim, Sernabatim, Vanelim",403708
254413,Dramapur- Sirlim,Village,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3716,Velim,7,"Dramapur, Sirlim",403725
254418,Guirdolim,Village,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3700,Cuncolim,7,Guirdolim,403714
254432,Loutulim,Village,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3709,Nuvem,9,Loutulim,403718
254433,Macasana,Village,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3700,Cuncolim,7,Macasana,403709
254434,Majorda,Village,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3709,Nuvem,9,"Calata, Majorda, Utorda",403713
254452,Nagoa,Village,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3709,Nuvem,7,Nagoa (part),403722
254461,Orlim,Village,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3697,Benaulim,7,Orlim,403724
254468,Paroda,Village,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3700,Cuncolim,7,"Mulem, Paroda",403705
254480,Rachol,Village,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3702,Curtorim,5,Rachol,403719
254495,Sarzora,Village,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3716,Velim,7,Sarzora,403715
254497,Seraulim,Village,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3697,Benaulim,7,"Duncolim, Seraulim",403708
254515,Telaulim,Village,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3708,Navelim,7,Talaulim (part),403707
254526,Velim,Village,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3716,Velim,9,Velim,403723
252095,Cuncolim,Town,Municipality,552,South Goa,5616,Salcete,481,South Goa,3700,Cuncolim,28,,403703
252087,Margao,Town,Municipality,552,South Goa,5616,Salcete,481,South Goa,3706,Margao,50,,403601
254369,Benaulim,Suburb,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3697,Benaulim,11,"Adsulim, Benaulim (Ct), Cana",403716
254391,Chinchinim- Deussa,Suburb,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3716,Velim,11,"Chinchinim (Ct), Deussua",403715
254408,Curtorim,Suburb,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3702,Curtorim,11,Curtorim (Ct),403709
254409,Davorlim Dicarpale,Suburb,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3708,Navelim,11,"Davorlim (Ct) (part), Dicarpale",403707
254455,Navelim,Suburb,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3708,Navelim,11,Navelim (Ct),403707
254460,Nuvem,Suburb,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3709,Nuvem,11,Nuvem (Ct),403713
