S.No.,Org Unit Code,Org Unit Name (In English),Org Unit Name (In Local),Entity Type,Entity Lc,Parent Org Unit Code,Parent Org Unit Name,Org Located Level Code,Base Organization Name,Base Organization Code,State Name,State Code
12,2398319,Block Directorate of Health Services( BLOCK- Quepem),,5,5937,2398315,District Directorate of Health Services( DISTRICT- South Goa),6412,Directorate of Health Services,2845,Goa,30
13,2398320,Block Directorate of Health Services( BLOCK- Salcete),,5,5938,2398315,District Directorate of Health Services( DISTRICT- South Goa),6412,Directorate of Health Services,2845,Goa,30
14,2398322,Block Directorate of Health Services( BLOCK- Sanguem),,5,5939,2398315,District Directorate of Health Services( DISTRICT- South Goa),6412,Directorate of Health Services,2845,Goa,30
15,2398323,Block Directorate of Health Services( BLOCK- Dharbandora),,5,6841,2398315,District Directorate of Health Services( DISTRICT- South Goa),6412,Directorate of Health Services,2845,Goa,30
1,2398329,Directorate Of Social Welfare( STATE- Goa),Directorate Of Social Welfare( राज्य- GOA),1,30,,,6416,Directorate Of Social Welfare,2847,Goa,30
2,2398331,District Directorate Of Social Welfare( DISTRICT- North Goa),District Directorate Of Social Welfare( जिला - NORTH GOA),2,551,2398329,Directorate Of Social Welfare( STATE- Goa),6417,Directorate Of Social Welfare,2847,Goa,30
3,2398330,District Directorate Of Social Welfare( DISTRICT- South Goa),District Directorate Of Social Welfare( जिला - SOUTH GOA),2,552,2398329,Directorate Of Social Welfare( STATE- Goa),6417,Directorate Of Social Welfare,2847,Goa,30
4,2398342,Block Directorate Of Social Welfare( BLOCK- Bardez),,5,5929,2398331,District Directorate Of Social Welfare( DISTRICT- North Goa),6418,Directorate Of Social Welfare,2847,Goa,30
5,2398340,Block Directorate Of Social Welfare( BLOCK- Bicholim),,5,5930,2398331,District Directorate Of Social Welfare( DISTRICT- North Goa),6418,Directorate Of Social Welfare,2847,Goa,30
6,2398343,Block Directorate Of Social Welfare( BLOCK- Pernem),,5,5931,2398331,District Directorate Of Social Welfare( DISTRICT- North Goa),6418,Directorate Of Social Welfare,2847,Goa,30
7,2398336,Block Directorate Of Social Welfare( BLOCK- Ponda),,5,5932,2398330,District Directorate Of Social Welfare( DISTRICT- South Goa),6418,Directorate Of Social Welfare,2847,Goa,30
8,2398341,Block Directorate Of Social Welfare( BLOCK- Satari),,5,5933,2398331,District Directorate Of Social Welfare( DISTRICT- North Goa),6418,Directorate Of Social Welfare,2847,Goa,30
9,2398339,Block Directorate Of Social Welfare( BLOCK- Tiswadi),,5,5934,2398331,District Directorate Of Social Welfare( DISTRICT- North Goa),6418,Directorate Of Social Welfare,2847,Goa,30
10,2398332,Block Directorate Of Social Welfare( BLOCK- Canacona),,5,5935,2398330,District Directorate Of Social Welfare( DISTRICT- South Goa),6418,Directorate Of Social Welfare,2847,Goa,30
11,2398333,Block Directorate Of Social Welfare( BLOCK- Mormugao),,5,5936,2398330,District Directorate Of Social Welfare( DISTRICT- South Goa),6418,Directorate Of Social Welfare,2847,Goa,30
12,2398334,Block Directorate Of Social Welfare( BLOCK- Quepem),,5,5937,2398330,District Directorate Of Social Welfare( DISTRICT- South Goa),6418,Directorate Of Social Welfare,2847,Goa,30
13,2398335,Block Directorate Of Social Welfare( BLOCK- Salcete),,5,5938,2398330,District Directorate Of Social Welfare( DISTRICT- South Goa),6418,Directorate Of Social Welfare,2847,Goa,30
14,2398337,Block Directorate Of Social Welfare( BLOCK- Sanguem),,5,5939,2398330,District Directorate Of Social Welfare( DISTRICT- South Goa),6418,Directorate Of Social Welfare,2847,Goa,30
15,2398338,Block Directorate Of Social Welfare( BLOCK- Dharbandora),,5,6841,2398330,District Directorate Of Social Welfare( DISTRICT- South Goa),6418,Directorate Of Social Welfare,2847,Goa,30
1,1236667,Election Commission (STATE),,1,30,,,1711,Election Commission,828,Goa,30
2,1236668,District Election Office( DISTRICT - NORTH GOA ),,2,551,,,1712,Election Commission,828,Goa,30
3,1236669,District Election Office( DISTRICT - SOUTH GOA ),,2,552,,,1712,Election Commission,828,Goa,30
1,1429691,Office of State Local Fund Auditor (STATE),,1,30,,,4474,Office of State Local Fund Auditor,2153,Goa,30
2,1429692,Office of District Fund Auditor( DISTRICT - NORTH GOA ),,2,551,,,4475,Office of State Local Fund Auditor,2153,Goa,30
3,1429693,Office of District Fund Auditor( DISTRICT - SOUTH GOA ),,2,552,,,4475,Office of State Local Fund Auditor,2153,Goa,30
1,1236664,Revenue Department (STATE),,1,30,,,1709,Revenue Department,827,Goa,30
2,1236665,Office of District Collectorate( DISTRICT - NORTH GOA ),,2,551,,,1710,Revenue Department,827,Goa,30
3,1236666,Office of District Collectorate( DISTRICT - SOUTH GOA ),,2,552,,,1710,Revenue Department,827,Goa,30
1,32,Test Department,,1,30,,,32,Test Department,32,Goa,30
2,1206750,Test Department District( DISTRICT - NORTH GOA ),,2,551,32,Test Department,1282,Test Department,32,Goa,30
3,1206751,Test Department District( DISTRICT - SOUTH GOA ),,2,552,32,Test Department,1282,Test Department,32,Goa,30
1,2343564,UIDAI State Verification( STATE- GOA),UIDAI State Verification( राज्य- GOA),1,30,,,5967,UIDAI State Verification,2732,Goa,30
2,2343566,Office of District Nodal Officer( DISTRICT- NORTH GOA),Office of District Nodal Officer( जिला - NORTH GOA),2,551,2343564,UIDAI State Verification( STATE- GOA),5968,UIDAI State Verification,2732,Goa,30
3,2343565,Office of District Nodal Officer( DISTRICT- SOUTH GOA),Office of District Nodal Officer( जिला - SOUTH GOA),2,552,2343564,UIDAI State Verification( STATE- GOA),5968,UIDAI State Verification,2732,Goa,30
4,2343571,Office of Sub District Nodal Officer( SUBDISTRICT- Pernem),Office of Sub District Nodal Officer( उप जिला - Pernem),3,5609,2343566,Office of District Nodal Officer( DISTRICT- NORTH GOA),5969,UIDAI State Verification,2732,Goa,30
5,2343572,Office of Sub District Nodal Officer( SUBDISTRICT- Bardez),Office of Sub District Nodal Officer( उप जिला - Bardez),3,5610,2343566,Office of District Nodal Officer( DISTRICT- NORTH GOA),5969,UIDAI State Verification,2732,Goa,30
6,2343567,Office of Sub District Nodal Officer( SUBDISTRICT- Tiswadi),Office of Sub District Nodal Officer( उप जिला - Tiswadi),3,5611,2343566,Office of District Nodal Officer( DISTRICT- NORTH GOA),5969,UIDAI State Verification,2732,Goa,30
7,2343568,Office of Sub District Nodal Officer( SUBDISTRICT- Bicholim),Office of Sub District Nodal Officer( उप जिला - Bicholim),3,5612,2343566,Office of District Nodal Officer( DISTRICT- NORTH GOA),5969,UIDAI State Verification,2732,Goa,30
8,2343573,Office of Sub District Nodal Officer( SUBDISTRICT- Satari),Office of Sub District Nodal Officer( उप जिला - Satari),3,5613,2343566,Office of District Nodal Officer( DISTRICT- NORTH GOA),5969,UIDAI State Verification,2732,Goa,30
9,2343569,Office of Sub District Nodal Officer( SUBDISTRICT- Ponda),Office of Sub District Nodal Officer( उप जिला - Ponda),3,5614,2343565,Office of District Nodal Officer( DISTRICT- SOUTH GOA),5969,UIDAI State Verification,2732,Goa,30
10,2343574,Office of Sub District Nodal Officer( SUBDISTRICT- Mormugao),Office of Sub District Nodal Officer( उप जिला - Mormugao),3,5615,2343565,Office of District Nodal Officer( DISTRICT- SOUTH GOA),5969,UIDAI State Verification,2732,Goa,30
11,2343575,Office of Sub District Nodal Officer( SUBDISTRICT- Salcete),Office of Sub District Nodal Officer( उप जिला - Salcete),3,5616,2343565,Office of District Nodal Officer( DISTRICT- SOUTH GOA),5969,UIDAI State Verification,2732,Goa,30
12,2343576,Office of Sub District Nodal Officer( SUBDISTRICT- Quepem),Office of Sub District Nodal Officer( उप जिला - Quepem),3,5617,2343565,Office of District Nodal Officer( DISTRICT- SOUTH GOA),5969,UIDAI State Verification,2732,Goa,30
13,2343570,Office of Sub District Nodal Officer( SUBDISTRICT- Sanguem),Office of Sub District Nodal Officer( उप जिला - Sanguem),3,5618,2343565,Office of District Nodal Officer( DISTRICT- SOUTH GOA),5969,UIDAI State Verification,2732,Goa,30
14,2343577,Office of Sub District Nodal Officer( SUBDISTRICT- Canacona),Office of Sub District Nodal Officer( उप जिला - Canacona),3,5619,2343565,Office of District Nodal Officer( DISTRICT- SOUTH GOA),5969,UIDAI State Verification,2732,Goa,30
15,2343578,Office of Sub District Nodal Officer( SUBDISTRICT- Dharbandora),Office of Sub District Nodal Officer( उप जिला - Dharbandoda),3,5931,2343566,Office of District Nodal Officer( DISTRICT- NORTH GOA),5969,UIDAI State Verification,2732,Goa,30
1,1236661,Urban Development Department (STATE),,1,30,,,1707,Urban Development Department,826,Goa,30
2,1236662,District Urban Development Department( DISTRICT - NORTH GOA ),,2,551,,,1708,Urban Development Department,826,Goa,30
3,1236663,District Urban Development Department( DISTRICT - SOUTH GOA ),,2,552,,,1708,Urban Development Department,826,Goa,30
1,97,SIRD,,1,30,,,97,SIRD,155,Goa,30
