S.No.,Local Body Code,Local Body Name,Ward Code,Ward Number,Ward Name,State Code,State Name
76,252082,Ponda,37242,6,Ponda (M Cl) - Ward No.6,30,Goa
77,252084,Mormugao,37255,9,Mormugao (M Cl) - Ward No.9,30,Goa
78,252100,Canacona,3055176,12,Canacona (M CI) - Ward No. 12,30,Goa
79,252077,Sankhali,1464,8,Sanquelim (M Cl) - Ward No.8,30,Goa
80,252075,Bicholim,1307282,12,Bicholim (M Ci) - Ward No. 12,30,Goa
81,252084,Mormugao,37254,8,Mormugao (M Cl) - Ward No.8,30,Goa
82,252077,Sankhali,932935,11,Sanquelim (M Cl) - Ward No.11,30,Goa
83,252084,Mormugao,37266,20,Mormugao (M Cl) - Ward No.20,30,Goa
84,252097,Quepem,37389,9,Quepem (M Cl) - Ward No.9,30,Goa
85,252084,Mormugao,1307302,24,Mormugao (M Ci) - Ward No. 24,30,Goa
86,252084,Mormugao,37256,10,Mormugao (M Cl) - Ward No.10,30,Goa
87,252077,Sankhali,1463,7,Sanquelim (M Cl) - Ward No.7,30,Goa
88,252057,Pernem,37759,10,Pernem (M Cl) - Ward No.10,30,Goa
89,252099,Sanguem,37451,3,Sanguem (M Cl) - Ward No.3,30,Goa
90,252095,Cuncolim,3055177,13,Cuncolim (M CI) - Ward No. 13,30,Goa
91,252082,Ponda,932830,12,Ponda (Mci) - Ward No.12,30,Goa
92,252079,Valpoi,68178,8,Valpoi (M Cl) - Ward No.8,30,Goa
93,252087,Margao,1493,5,Margao (M Cl) - Ward No.5,30,Goa
94,252087,Margao,1499,11,Margao (M Cl) - Ward No.11,30,Goa
95,252099,Sanguem,37456,8,Sanguem (M Cl) - Ward No.8,30,Goa
96,252075,Bicholim,68189,4,Bicholim (M Cl) - Ward No.4,30,Goa
97,252071,City Corporation Panaji,932780,23,Panaji (Mci) - Ward No.23,30,Goa
98,252071,City Corporation Panaji,1451,18,Panaji (M Ci) - Ward No.18,30,Goa
99,252057,Pernem,37755,6,Pernem (M Cl) - Ward No.6,30,Goa
100,252097,Quepem,37384,4,Quepem (M Cl) - Ward No.4,30,Goa
101,252084,Mormugao,1307299,21,Mormugao (M Ci) - Ward No. 21,30,Goa
102,252095,Cuncolim,1307283,11,Cuncolim (M Ci)- Ward No. 11,30,Goa
103,252061,Mapusa,1471,6,Mapusa (M Cl) - Ward No.6,30,Goa
104,252087,Margao,1489,1,Margao (M Cl) - Ward No.1,30,Goa
105,252079,Valpoi,68179,9,Valpoi (M Cl) - Ward No.9,30,Goa
106,252087,Margao,7001,20,Margao (Mci) - Ward No.20,30,Goa
107,252077,Sankhali,1465,9,Sanquelim (M Cl) - Ward No.9,30,Goa
108,252071,City Corporation Panaji,1444,11,Panaji (M Cl) - Ward No.11,30,Goa
109,252061,Mapusa,1468,3,Mapusa (M Cl) - Ward No.3,30,Goa
110,252095,Cuncolim,1615,2,Cuncolim (M Cl) - Ward No.2,30,Goa
111,252087,Margao,1495,7,Margao (M Cl) - Ward No.7,30,Goa
112,252087,Margao,1496,8,Margao (M Cl) - Ward No.8,30,Goa
113,252084,Mormugao,37264,18,Mormugao (M Cl) - Ward No.18,30,Goa
114,252061,Mapusa,1473,8,Mapusa (M Cl) - Ward No.8,30,Goa
115,252100,Canacona,1634,9,Canacona (M Cl) - Ward No.9,30,Goa
116,252087,Margao,1607,14,Margao (M Cl) - Ward No.14,30,Goa
117,252071,City Corporation Panaji,932800,26,Panaji (Mci) - Ward No.26,30,Goa
118,252057,Pernem,37757,8,Pernem (M Cl) - Ward No.8,30,Goa
119,252084,Mormugao,37251,5,Mormugao (M Cl) - Ward No.5,30,Goa
120,252087,Margao,1608,15,Margao (M Cl) - Ward No.15,30,Goa
121,252082,Ponda,932927,14,Ponda (Mci) - Ward No.14,30,Goa
122,252061,Mapusa,1475,10,Mapusa (M Cl) - Ward No.10,30,Goa
123,252077,Sankhali,1307307,13,Sanquelim (M Ci) - Ward No. 13,30,Goa
124,252099,Sanguem,37454,6,Sanguem (M Cl) - Ward No.6,30,Goa
125,252082,Ponda,37244,8,Ponda (M Cl) - Ward No.8,30,Goa
126,252095,Cuncolim,1621,8,Cuncolim (M Cl) - Ward No.8,30,Goa
127,252097,Quepem,37387,7,Quepem (M Cl) - Ward No.7,30,Goa
128,252061,Mapusa,1307291,18,Mapusa (M Ci) - Ward No. 18,30,Goa
129,252100,Canacona,1631,6,Canacona (M Cl) - Ward No.6,30,Goa
130,252084,Mormugao,37260,14,Mormugao (M Cl) - Ward No.14,30,Goa
