State Code,State Name,District Code,District Name,SubDistrict Code,SubDistrict Name,Village Code,Village Name,Pincode
30,Goa,551,North Goa,5609,Pernem,626660,Parcem (Ct),403512
30,Goa,551,North Goa,5609,Pernem,626639,Pernem,403512
30,Goa,551,North Goa,5609,Pernem,626640,Poroscodem,403512
30,Goa,551,North Goa,5609,Pernem,626636,Querim,403524
30,Goa,551,North Goa,5609,Pernem,626645,Tamboxem,403512
30,Goa,551,North Goa,5609,Pernem,626635,Tiracol,403524
30,Goa,551,North Goa,5609,Pernem,626646,Torxem,403512
30,Goa,551,North Goa,5609,Pernem,626655,Tuem,403512
30,Goa,551,North Goa,5609,Pernem,626644,Uguem,403512
30,Goa,551,North Goa,5609,Pernem,626642,Varconda,403512
30,Goa,551,North Goa,5609,Pernem,626654,Virnora,403512
30,Goa,551,North Goa,5613,Satari,626825,Advoi,403530
30,Goa,551,North Goa,5613,Satari,626803,Ambedem,403506
30,Goa,551,North Goa,5613,Satari,626839,Ambeli,403506
30,Goa,551,North Goa,5613,Satari,626770,Anjunem,403505
30,Goa,551,North Goa,5613,Satari,626814,Ansolem,403506
30,Goa,551,North Goa,5613,Satari,626836,Assodem,403506
30,Goa,551,North Goa,5613,Satari,626830,Birondem,403506
30,Goa,551,North Goa,5613,Satari,626802,Bombedem,403506
30,Goa,551,North Goa,5613,Satari,626807,Buimpal,403530
30,Goa,551,North Goa,5613,Satari,626793,Carambolim- Brama,403506
30,Goa,551,North Goa,5613,Satari,626821,Carambolim-Buzruco,403506
30,Goa,551,North Goa,5613,Satari,626820,Caranzol,403506
30,Goa,551,North Goa,5613,Satari,626773,Choraundem,403506
30,Goa,551,North Goa,5613,Satari,626780,Codal,403506
30,Goa,551,North Goa,5613,Satari,626812,Codiem,403530
30,Goa,551,North Goa,5613,Satari,626823,Codqui,403506
30,Goa,551,North Goa,5613,Satari,626818,Codvol,403506
30,Goa,551,North Goa,5613,Satari,626790,Compordem,403506
30,Goa,551,North Goa,5613,Satari,626841,Conquirem,403506
30,Goa,551,North Goa,5613,Satari,626832,Cotorem,403506
30,Goa,551,North Goa,5613,Satari,626815,Cudcem,403506
30,Goa,551,North Goa,5613,Satari,626808,Cumarconda,403530
30,Goa,551,North Goa,5613,Satari,626789,Dabem,403506
30,Goa,551,North Goa,5613,Satari,626831,Damocem,403506
30,Goa,551,North Goa,5613,Satari,626801,Davem,403506
30,Goa,551,North Goa,5613,Satari,626779,Derodem,403506
30,Goa,551,North Goa,5613,Satari,626782,Dongurli,403506
30,Goa,551,North Goa,5613,Satari,626791,Edorem,403506
30,Goa,551,North Goa,5613,Satari,626776,Golauli,403506
30,Goa,551,North Goa,5613,Satari,626768,Gonteli,403505
30,Goa,551,North Goa,5613,Satari,626837,Govanem,403506
30,Goa,551,North Goa,5613,Satari,626828,Guleli,403506
30,Goa,551,North Goa,5613,Satari,626784,Gululem,403506
30,Goa,551,North Goa,5613,Satari,626774,Ivrem-Buzruco,403506
30,Goa,551,North Goa,5613,Satari,626775,Ivrem-Curdo,403506
30,Goa,551,North Goa,5613,Satari,626796,Maloli,403506
30,Goa,551,North Goa,5613,Satari,626838,Malpona,403506
30,Goa,551,North Goa,5613,Satari,924819,Massordem,403506
30,Goa,551,North Goa,5613,Satari,626806,Mauxi,403506
30,Goa,551,North Goa,5613,Satari,626840,Melauli,403506
30,Goa,551,North Goa,5613,Satari,626786,Morlem,403505
30,Goa,551,North Goa,5613,Satari,626804,Nagargao,403506
30,Goa,551,North Goa,5613,Satari,626813,Naguem,403506
30,Goa,551,North Goa,5613,Satari,626792,Naneli,403506
30,Goa,551,North Goa,5613,Satari,626797,Nanorem,403506
30,Goa,551,North Goa,5613,Satari,924821,Nanus,403506
30,Goa,551,North Goa,5613,Satari,626842,Onda (Ct),403530
30,Goa,551,North Goa,5613,Satari,626829,Padeli,403506
30,Goa,551,North Goa,5613,Satari,626783,Pale,403506
30,Goa,551,North Goa,5613,Satari,626819,Pendral,403506
30,Goa,551,North Goa,5613,Satari,626809,Pissurlem,403530
30,Goa,551,North Goa,5613,Satari,626765,Podocem,403505
30,Goa,551,North Goa,5613,Satari,626826,Ponocem,403530
30,Goa,551,North Goa,5613,Satari,626772,Ponsuli,403505
30,Goa,551,North Goa,5613,Satari,626766,Poriem,403505
30,Goa,551,North Goa,5613,Satari,626771,Quelaudem,403505
30,Goa,551,North Goa,5613,Satari,626785,Querim,403505
30,Goa,551,North Goa,5613,Satari,626767,Ravona,403505
30,Goa,551,North Goa,5613,Satari,626781,Rivem,403506
30,Goa,551,North Goa,5613,Satari,626787,Saleli,403530
30,Goa,551,North Goa,5613,Satari,626824,Sanvorcem,403506
30,Goa,551,North Goa,5613,Satari,626816,Sanvordem,403506
30,Goa,551,North Goa,5613,Satari,626805,Satorem,403506
30,Goa,551,North Goa,5613,Satari,626778,Satrem,403506
30,Goa,551,North Goa,5613,Satari,626795,Sigonem,403506
30,Goa,551,North Goa,5613,Satari,626834,Siranguli,403506
30,Goa,551,North Goa,5613,Satari,626769,Siroli,403505
30,Goa,551,North Goa,5613,Satari,626835,Sirsodem,403506
30,Goa,551,North Goa,5613,Satari,626817,Sonal,403506
30,Goa,551,North Goa,5613,Satari,626810,Sonus-Vonvoliem,403530
30,Goa,551,North Goa,5613,Satari,626777,Surla,403506
30,Goa,551,North Goa,5613,Satari,626800,Ustem,403506
30,Goa,551,North Goa,5613,Satari,626811,Vaguriem,403530
30,Goa,551,North Goa,5613,Satari,626798,Vainguinim,403506
30,Goa,551,North Goa,5613,Satari,945833,Valpoi,403506
30,Goa,551,North Goa,5613,Satari,626827,Vantem,403530
30,Goa,551,North Goa,5613,Satari,626822,Velguem,403506
30,Goa,551,North Goa,5613,Satari,924825,Velus,403506
30,Goa,551,North Goa,5613,Satari,626794,Xelopo-Buzruco,403506
30,Goa,551,North Goa,5613,Satari,626833,Xelopo-Curdo,403506
30,Goa,551,North Goa,5613,Satari,626799,Zarani,403506
30,Goa,551,North Goa,5613,Satari,626788,Zormen,403506
30,Goa,551,North Goa,5611,Tiswadi,626705,Ambarim,403102
30,Goa,551,North Goa,5611,Tiswadi,626719,Azossim,403104
30,Goa,551,North Goa,5611,Tiswadi,626715,Bainguinim,403402
30,Goa,551,North Goa,5611,Tiswadi,626733,Bambolim (Ct),403202
30,Goa,551,North Goa,5611,Tiswadi,626722,Batim,403108
30,Goa,551,North Goa,5611,Tiswadi,626732,Calapor (Ct),403005
30,Goa,551,North Goa,5611,Tiswadi,626708,Capao,403403
30,Goa,551,North Goa,5611,Tiswadi,626707,Caraim,403102
30,Goa,551,North Goa,5611,Tiswadi,626718,Carambolim,403110
30,Goa,551,North Goa,5611,Tiswadi,626730,Chimbel (Ct),403006
30,Goa,551,North Goa,5611,Tiswadi,626706,Chorao,403102
30,Goa,551,North Goa,5611,Tiswadi,626729,Corlim (Ct),403110
30,Goa,551,North Goa,5611,Tiswadi,626740,Cujira (Og),403005
30,Goa,551,North Goa,5611,Tiswadi,626728,Cumbarjua (Ct),403107
30,Goa,551,North Goa,5611,Tiswadi,626723,Curca,403108
30,Goa,551,North Goa,5611,Tiswadi,645599,Durgavado,403002
30,Goa,551,North Goa,5611,Tiswadi,626714,Ella,403402
30,Goa,551,North Goa,5611,Tiswadi,626721,Gancim,403108
30,Goa,551,North Goa,5611,Tiswadi,626713,Gandaulim,403402
30,Goa,551,North Goa,5611,Tiswadi,626717,Goalim-Moula,403108
30,Goa,551,North Goa,5611,Tiswadi,626734,Goa-Velha,403108
30,Goa,551,North Goa,5611,Tiswadi,626710,Goltim,403403
30,Goa,551,North Goa,5611,Tiswadi,626727,Jua (Ct),403106
30,Goa,551,North Goa,5611,Tiswadi,626711,Malar,403403
30,Goa,551,North Goa,5611,Tiswadi,626720,Mandur,403104
30,Goa,551,North Goa,5611,Tiswadi,626735,Mercurim (Ct),403204
30,Goa,551,North Goa,5611,Tiswadi,626737,Morambi-O-Grande (Merces),403006
30,Goa,551,North Goa,5611,Tiswadi,626739,Morambi-O-Pequeno (Merces),403005
30,Goa,551,North Goa,5611,Tiswadi,626731,Murda (Ct),403005
30,Goa,551,North Goa,5611,Tiswadi,626712,Naroa,403504
30,Goa,551,North Goa,5611,Tiswadi,626709,Navelim,403403
30,Goa,551,North Goa,5611,Tiswadi,626726,Neura-O-Grande,403104
30,Goa,551,North Goa,5611,Tiswadi,626725,Neura-O-Pequeno,403104
30,Goa,551,North Goa,5611,Tiswadi,945834,Panaji,403001
30,Goa,551,North Goa,5611,Tiswadi,626736,Panelim (Og),403006
30,Goa,551,North Goa,5611,Tiswadi,626738,Renovadi (Og),403005
30,Goa,551,North Goa,5611,Tiswadi,626724,Siridao,403108
30,Goa,551,North Goa,5611,Tiswadi,626716,Talaulim,403108
30,Goa,551,North Goa,5611,Tiswadi,645598,Taleigao,403002
30,Goa,552,South Goa,5619,Canacona,627023,Agonda,403702
30,Goa,552,South Goa,5619,Canacona,627029,Angediva,403702
30,Goa,552,South Goa,5619,Canacona,627024,Canacona,403702
30,Goa,552,South Goa,5619,Canacona,924816,Chaudi,403705
30,Goa,552,South Goa,5619,Canacona,627022,Cola,403702
30,Goa,552,South Goa,5619,Canacona,627028,Cotigao,403702
30,Goa,552,South Goa,5619,Canacona,627025,Gaodongrem,403702
30,Goa,552,South Goa,5619,Canacona,627027,Loliem,403728
30,Goa,552,South Goa,5619,Canacona,924820,Nagorcem - Palolem,403702
30,Goa,552,South Goa,5619,Canacona,627026,Poinguinim,403702
30,Goa,552,South Goa,5931,Dharbandora,626973,Aglote,403406
30,Goa,552,South Goa,5931,Dharbandora,626984,Bandoli,403706
30,Goa,552,South Goa,5931,Dharbandora,626982,Camarconda,403706
30,Goa,552,South Goa,5931,Dharbandora,626976,Caranzol,403410
30,Goa,552,South Goa,5931,Dharbandora,626981,Codli,403706
30,Goa,552,South Goa,5931,Dharbandora,626977,Colem,403410
30,Goa,552,South Goa,5931,Dharbandora,626980,Cormonem,403706
30,Goa,552,South Goa,5931,Dharbandora,626971,Darbandora,403406
30,Goa,552,South Goa,5931,Dharbandora,626983,Moissal,403410
30,Goa,552,South Goa,5931,Dharbandora,626975,Molem,403410
30,Goa,552,South Goa,5931,Dharbandora,626970,Piliem,403406
30,Goa,552,South Goa,5931,Dharbandora,626972,Sancordem,403406
30,Goa,552,South Goa,5931,Dharbandora,626979,Sangod,403410
30,Goa,552,South Goa,5931,Dharbandora,626978,Sigao,403410
30,Goa,552,South Goa,5931,Dharbandora,626989,Sonauli,403410
30,Goa,552,South Goa,5931,Dharbandora,626974,Surla,403406
30,Goa,552,South Goa,5615,Mormugao,626884,Arossim,403712
30,Goa,552,South Goa,5615,Mormugao,626883,Cansaulim,403712
30,Goa,552,South Goa,5615,Mormugao,626885,Chicalim (Ct),403711
30,Goa,552,South Goa,5615,Mormugao,626880,Chicolna,403806
30,Goa,552,South Goa,5615,Mormugao,626887,Cortalim (Ct),403710
30,Goa,552,South Goa,5615,Mormugao,626877,Cuelim,403712
30,Goa,552,South Goa,5615,Mormugao,626874,Dabolim,403801
30,Goa,552,South Goa,5615,Mormugao,626879,Issorcim,403712
30,Goa,552,South Goa,5615,Mormugao,945837,Mormugao Port,403803
30,Goa,552,South Goa,5615,Mormugao,626878,Pale,403712
30,Goa,552,South Goa,5615,Mormugao,626876,Quelossim,403710
30,Goa,552,South Goa,5615,Mormugao,945839,Sambhaji,403803
30,Goa,552,South Goa,5615,Mormugao,626886,Sancoale (Ct),403710
30,Goa,552,South Goa,5615,Mormugao,626875,Sao Jacinto Island,403711
30,Goa,552,South Goa,5615,Mormugao,626881,Sao Jorge Island,403803
30,Goa,552,South Goa,5615,Mormugao,945838,Vadem,403803
30,Goa,552,South Goa,5615,Mormugao,626882,Velsao,403712
30,Goa,552,South Goa,5614,Ponda,626847,Adcolna,403107
30,Goa,552,South Goa,5614,Ponda,626869,Bandora (Ct),403401
30,Goa,552,South Goa,5614,Ponda,626859,Betora,403401
30,Goa,552,South Goa,5614,Ponda,626844,Betqui,403107
30,Goa,552,South Goa,5614,Ponda,626848,Boma,403107
