S.No.,District Code,District Name (In English),Sub-District Code,Sub-District Name (In English),Village Code,Village Version,Village Name (In English),Village Name (In Local),Village Category,Village Status,Census 2001 Code,Census 2011 Code,State Code,State Name (In English)
115,551,North Goa,5613,Satari,626821,2,Carambolim-Buzruco,,Rural,Inhabitant,16500,626821,30,Goa
116,551,North Goa,5613,Satari,626820,1,Caranzol,,Rural,Inhabitant,16400,626820,30,Goa
117,551,North Goa,5613,Satari,626773,1,Choraundem,,Rural,Inhabitant,11600,626773,30,Goa
118,551,North Goa,5613,Satari,626780,1,Codal,,Rural,Inhabitant,12300,626780,30,Goa
119,551,North Goa,5613,Satari,626812,1,Codiem,,Rural,Inhabitant,15600,626812,30,Goa
120,551,North Goa,5613,Satari,626823,1,Codqui,,Rural,Inhabitant,16700,626823,30,Goa
121,551,North Goa,5613,Satari,626818,1,Codvol,,Rural,Inhabitant,16200,626818,30,Goa
122,551,North Goa,5613,Satari,626790,1,Compordem,,Rural,Inhabitant,13400,626790,30,Goa
123,551,North Goa,5613,Satari,626841,1,Conquirem,,Rural,Inhabitant,18500,626841,30,Goa
124,551,North Goa,5613,Satari,626832,1,Cotorem,,Rural,Inhabitant,17600,626832,30,Goa
125,551,North Goa,5613,Satari,626815,1,Cudcem,,Rural,Inhabitant,15900,626815,30,Goa
126,551,North Goa,5613,Satari,626808,1,Cumarconda,,Rural,Inhabitant,15200,626808,30,Goa
127,551,North Goa,5613,Satari,626789,1,Dabem,,Rural,Inhabitant,13300,626789,30,Goa
128,551,North Goa,5613,Satari,626831,1,Damocem,,Rural,Inhabitant,17500,626831,30,Goa
129,551,North Goa,5613,Satari,626801,1,Davem,,Rural,Inhabitant,14500,626801,30,Goa
130,551,North Goa,5613,Satari,626779,1,Derodem,,Rural,Inhabitant,12200,626779,30,Goa
131,551,North Goa,5613,Satari,626782,1,Dongurli,,Rural,Inhabitant,12500,626782,30,Goa
132,551,North Goa,5613,Satari,626791,1,Edorem,,Rural,Inhabitant,13500,626791,30,Goa
133,551,North Goa,5613,Satari,626776,1,Golauli,,Rural,Inhabitant,11900,626776,30,Goa
134,551,North Goa,5613,Satari,626768,1,Gonteli,,Rural,Inhabitant,11100,626768,30,Goa
135,551,North Goa,5613,Satari,626837,1,Govanem,,Rural,Inhabitant,18100,626837,30,Goa
136,551,North Goa,5613,Satari,626828,1,Guleli,,Rural,Inhabitant,17200,626828,30,Goa
137,551,North Goa,5613,Satari,626784,1,Gululem,,Rural,Inhabitant,12700,626784,30,Goa
138,551,North Goa,5613,Satari,626774,1,Ivrem-Buzruco,,Rural,Inhabitant,11700,626774,30,Goa
139,551,North Goa,5613,Satari,626775,1,Ivrem-Curdo,,Rural,Inhabitant,11800,626775,30,Goa
140,551,North Goa,5613,Satari,626796,1,Maloli,,Rural,Inhabitant,14000,626796,30,Goa
141,551,North Goa,5613,Satari,626838,1,Malpona,,Rural,Inhabitant,18200,626838,30,Goa
142,551,North Goa,5613,Satari,924819,1,Massordem,Massordem,Urban,Inhabitant,,0,30,Goa
143,551,North Goa,5613,Satari,626806,2,Mauxi,,Rural,Inhabitant,15000,626806,30,Goa
144,551,North Goa,5613,Satari,626840,1,Melauli,,Rural,Inhabitant,18400,626840,30,Goa
145,551,North Goa,5613,Satari,626786,1,Morlem,,Rural,Inhabitant,12900,626786,30,Goa
146,551,North Goa,5613,Satari,626804,1,Nagargao,,Rural,Inhabitant,14800,626804,30,Goa
147,551,North Goa,5613,Satari,626813,1,Naguem,,Rural,Inhabitant,15700,626813,30,Goa
148,551,North Goa,5613,Satari,626792,1,Naneli,,Rural,Inhabitant,13600,626792,30,Goa
149,551,North Goa,5613,Satari,626797,1,Nanorem,,Rural,Inhabitant,14100,626797,30,Goa
150,551,North Goa,5613,Satari,924821,1,Nanus,Nanus,Urban,Inhabitant,,0,30,Goa
151,551,North Goa,5613,Satari,626842,1,Onda (Ct),,Rural,Inhabitant,13000,626842,30,Goa
152,551,North Goa,5613,Satari,626829,1,Padeli,,Rural,Inhabitant,17300,626829,30,Goa
153,551,North Goa,5613,Satari,626783,1,Pale,,Rural,Inhabitant,12600,626783,30,Goa
154,551,North Goa,5613,Satari,626819,1,Pendral,,Rural,Inhabitant,16300,626819,30,Goa
155,551,North Goa,5613,Satari,626809,1,Pissurlem,,Rural,Inhabitant,15300,626809,30,Goa
156,551,North Goa,5613,Satari,626765,1,Podocem,,Rural,Inhabitant,10800,626765,30,Goa
157,551,North Goa,5613,Satari,626826,1,Ponocem,,Rural,Inhabitant,17000,626826,30,Goa
158,551,North Goa,5613,Satari,626772,1,Ponsuli,,Rural,Inhabitant,11500,626772,30,Goa
159,551,North Goa,5613,Satari,626766,1,Poriem,,Rural,Inhabitant,10900,626766,30,Goa
160,551,North Goa,5613,Satari,626771,1,Quelaudem,,Rural,Inhabitant,11400,626771,30,Goa
161,551,North Goa,5613,Satari,626785,1,Querim,,Rural,Inhabitant,12800,626785,30,Goa
162,551,North Goa,5613,Satari,626767,1,Ravona,,Rural,Inhabitant,11000,626767,30,Goa
